,Item Name,Category,Primary Ingredients,Origin/Context,Description
59,Kalai Roti,Bread,Black Gram,Rajbanshi,A lentil-based flatbread made from Urad dal flour.
60,Rice Roti,Bread,Rice flour,Terai,"A simple flatbread made from rice flour, common in Madheshi culture."
61,Phulaura,Snack,Lentil flour,Nepal,"Deep-fried balls of spiced lentil batter, served as an appetizer."
62,Batuk,Snack,Black Lentils,Magar,"A ring-shaped, fried black lentil donut, essential to Magar rituals."
63,Gwaramari,Snack,Wheat flour,Newari,"Deep-fried dough balls, a popular breakfast snack in Kathmandu."
64,Jhaikhatte,Snack,Rice & Ghee,Pahari,A preparation where rice is mixed with hot ghee and raksi for warmth.
65,Gundruk ko Jhol,Soup,Fermented greens,Pahari,"A tangy, spiced soup made from fermented and dried mustard/radish leaves."
66,Sinki ko Jhol,Soup,Fermented radish,Pahari,"A soup made from fermented radish roots, similar in tanginess to gundruk."
67,Alu Tama,Curry,"Potato, Bamboo",Newari/Pahari,"A sour and spicy curry made with bamboo shoots, potatoes, and black-eyed peas."
68,Kwati,Soup,Nine beans,Newari,"A high-protein soup made from nine types of sprouted beans, eaten during Janai Purnima."
69,Kerau ko Tarkari,Curry,Green Peas,Nepal,A spiced curry made from fresh or dried green peas.
70,Alu Kauli,Curry,"Potato, Cauliflower",Nepal,A classic combination of potatoes and cauliflower sautéed with spices.
71,Saag,Vegetable,Mustard Greens,Nepal,"Stir-fried green leafy vegetables, typically mustard or spinach."
72,Palungo ko Saag,Vegetable,Spinach,Nepal,"Sautéed spinach, often cooked with a hint of garlic and mustard oil."
73,Rayo ko Saag,Vegetable,Leaf Mustard,Nepal,"Pungent mustard greens, a common accompaniment to dal bhat."
74,Bethu ko Saag,Vegetable,Lambsquarters,Rural Nepal,Foraged wild greens often cooked during the winter season.
75,Niuro,Vegetable,Fiddlehead Ferns,Hill Region,"Edible fern shoots, a popular seasonal delicacy in the hills."
76,Sipligan,Vegetable,Garlic Pear,Hill Region,"The flowers of the Sipligan tree, used in bitter and medicinal curries."
77,Koiralo,Vegetable,Bauhinia flowers,Hill Region,White or pink flowers used to make tangy and colorful pickles and curries.
78,Sishnu ko Saag,Soup/Veg,Stinging Nettle,Himalayan,"Young nettle shoots boiled into a thick, nutritious green soup."
79,Karkalo,Vegetable,Taro Leaves,Nepal,Taro leaves and stalks used in various curries and pickles.
80,Masyaura,Curry,Lentil nuggets,Nepal,"Sun-dried nuggets of black lentils and taro, used in winter curries."
81,Simi ko Tarkari,Curry,Green Beans,Nepal,Spiced curry made from various types of local beans.
82,Barela,Vegetable,Balsam Apple,Rural Nepal,A gourd-like vegetable often sautéed with spices.
83,Iskush,Vegetable,Chayote Squash,Nepal,A common squash variety used in stews and stir-fries.
84,Iskush ko Munta,Vegetable,Chayote Shoots,Nepal,"The tender vines of the chayote plant, cooked as a leafy green."
85,Farsi,Vegetable,Pumpkin,Nepal,"Pumpkin curry, often sweet and savory, a common side dish."
86,Farsi ko Munta,Vegetable,Pumpkin Shoots,Nepal,"Tender pumpkin vine shoots, highly prized for their texture."
87,Ramtoriya,Vegetable,Okra,Nepal,Ladies' finger sautéed with onions and dry spices.
88,Bhanta,Vegetable,Eggplant,Nepal,"Eggplant or brinjal, often roasted or curried."
89,Chichindo,Vegetable,Snake Gourd,Terai,"Long, serpent-like gourd used in light, watery curries."
90,Ghiraula,Vegetable,Sponge Gourd,Nepal,Spiced curry made from ridge or sponge gourd.
91,Kubhindo,Vegetable,Ash Gourd,Nepal,Often used in traditional sweets or hearty vegetable soups.
92,Kurilo,Vegetable,Asparagus,Nepal,"Wild or cultivated asparagus, used in luxury curries and soups."
93,Pidaalu,Vegetable,Taro Root,Nepal,Starchy taro tubers used in curries and deep-fried snacks.
94,Tarul,Vegetable,Yam,Nepal,"Various types of yams, especially consumed during Maghe Sankranti."
95,Ban Tarul,Vegetable,Wild Yam,Chepang/Rural,"Foraged wild yams, an essential survival food for indigenous groups."
96,Mula ko Tarkari,Curry,Radish,Nepal,"Spiced radish curry, often paired with legumes."
97,Gante Moola,Vegetable,Turnip,Nepal,"Turnip greens and roots, used in hilly regional cooking."
98,Cauliflower Greens,Vegetable,Kauli ko Saag,Nepal,"The leaves of the cauliflower plant, often discarded but used in rural diets."
99,Bethe,Vegetable,Chenopodium,Nepal,A common wild herb used as a leafy green vegetable.
100,Thotne,Vegetable,Smart Weed,Nepal,A sour wild plant used in pickles and medicinal preparations.
101,Nigalo Tusha,Vegetable,Himalayan Bamboo,Himalayan,"Tender shoots of small Himalayan bamboo, used in curries."
102,Barela,Vegetable,Balsam Apple,Rural Nepal,A bitter-tasting gourd variety used in traditional medicine and cooking.
103,Barela,Vegetable,Balsam Apple,Rural Nepal,Small gourd used in seasonal curries.
104,Chatel,Vegetable,Kantola,Nepal,"Spiny gourd, a seasonal vegetable found in the hills and plains."
105,Lauka,Vegetable,Bottle Gourd,Nepal,"Bottle gourd, often cooked as a cooling curry in the summer."
106,Parwar,Vegetable,Pointed Gourd,Terai,"A popular vegetable in the southern plains, often stuffed or fried."
107,Tinda,Vegetable,Round Gourd,Terai,Small round gourd used in mild curries.
108,Kerau ko Munta,Vegetable,Pea Shoots,Nepal,"Tender shoots of garden pea plants, a seasonal delicacy."
109,Tori ko Saag,Vegetable,Mustard Greens,Nepal,Young mustard plants used as a pungent leafy green.
110,Lunde ko Saag,Vegetable,Pigweed,Nepal,A wild amaranth variety used as a staple green in rural areas.
111,Poi Saag,Vegetable,Malabar Spinach,Nepal,"Thick, succulent green leaves used in soups and curries."
112,Methi ko Saag,Vegetable,Fenugreek leaves,Nepal,"Bitter fenugreek leaves, often sautéed with potatoes."
113,Dundu ko Saag,Vegetable,Chinese Leek,Himalayan,A wild leek used to flavor soups and meat dishes.
114,Chamsoor,Vegetable,Garden Cress,Nepal,A peppery leafy green often paired with spinach (palungo).
115,Dhaniya,Condiment,Coriander,Nepal,Fresh cilantro leaves used for garnishing and in every chutney.
116,Kari Pata,Condiment,Curry Leaves,Terai,Aromatic leaves used to temper dals and vegetable dishes.
117,Tejpat,Condiment,Bay Leaf,Pahari,"Leaves of the cinnamon tree, used to add aroma to meat and rice."
118,Jimbu,Condiment,Wild Allium,Himalayan,A dried Himalayan herb used for tempering lentils and soups.
119,Timmure Alu,Snack,Potato & Timur,Thakali,"Potatoes sautéed with Sichuan pepper (timur), a signature Thakali dish."
120,Chukauni,Salad,Yogurt & Potato,Palpa,"A creamy potato salad made with yogurt, turmeric, and mustard oil."
121,Mula ko Achar,Pickle,Radish,Nepal,Fermented radish slices seasoned with mustard oil and turmeric.
122,Golbheda Achar,Pickle,Tomato,Nepal,A spicy chutney made from roasted tomatoes and garlic.
123,Lapsi Achar,Pickle,Hog Plum,Nepal,A sour and spicy pickle made from the native hog plum fruit.
124,Akabare Achar,Pickle,Round Chili,Nepal,"Hottest chili pickle in Nepal, made from the Akabare/Dalle chili."
125,Alu ko Achar,Pickle,Potato,Nepal,"Boiled potatoes mixed with ground sesame, lemon, and spices."
126,Pudina Achar,Pickle,Mint,Nepal,"A fresh, emerald-green chutney of mint, garlic, and green chilies."
127,Karela Achar,Pickle,Bitter Gourd,Nepal,Thinly sliced bitter gourd fried and mixed with sesame and lemon.
128,Tite Karela,Vegetable,Bitter Gourd,Nepal,"Spiced bitter gourd curry, often eaten for its health benefits."
129,Bhogate Sadheko,Salad,Pomelo,Nepal,"Pomelo segments mixed with yogurt, honey, and chili."
130,Bhatmas Sadheko,Snack,Soybeans,Nepal,"Roasted soybeans mixed with onion, garlic, ginger, and chili."
131,Alu Sandheko,Snack,Potato,Newari,Spicy potato salad mixed with roasted mustard oil and cumin.
132,Chhop Achar,Pickle,Niger Seed,Rai/Limbu,A dry ground pickle made from niger seeds and chili.
133,Tama,Pickle,Bamboo,Nepal,"Sour fermented bamboo shoots, a distinct Nepali flavor."
134,Kinema Achar,Pickle,Fermented Soy,Limbu,"A bold, pungent pickle made from fermented soybeans."
135,Lasun ko Achar,Pickle,Garlic,Nepal,Crunchy garlic cloves pickled in mustard oil and chili powder.
136,Timur Lasun,Pickle,Sichuan/Garlic,Nepal,A powerful pickle combining the numbing timur and garlic.
137,Mango Achar,Pickle,Green Mango,Nepal,Traditional summer pickle of green mangoes and fennel seeds.
138,Pyaaz ko Achar,Pickle,Onion,Nepal,"Sliced onions marinated in vinegar, salt, and sugar."
139,Chili Sesame,Pickle,Chili & Sesame,Nepal,A combination of toasted sesame and green chilies.
140,Sidhara ko Jhol,Soup,Dried fish,Tharu,A soup made from sun-dried cakes of taro and fish.
141,Kwati ko Jhol,Soup,Bean Broth,Nepal,"The rich, spiced liquid of the nine-bean soup."
142,Phulaura,Snack,Black Lentils,Nepal,"Fried lentil balls, often served as a ritual appetizer."
143,Batuk,Snack,Black Lentils,Magar,Traditional ring-shaped Magar lentil snack.
144,Bara,Snack,Black Lentils,Newari,"Lentil pancake, sometimes called the ""Nepali pancake."""
145,Masyaura Curry,Curry,Lentil Nuggets,Pahari,Reconstituted dried nuggets cooked with potato and spices.
146,Gante Moola,Vegetable,Turnip,Pahari,"Local turnips, a common root vegetable in the hills."
147,Mula ko Duku,Vegetable,Radish Shoots,Nepal,"Young radish leaves and stems, cooked as a green."
148,Rayo ko Duku,Vegetable,Mustard Shoots,Nepal,The flowering shoots of the mustard plant.
149,Sim Rayo,Vegetable,Watercress,Nepal,Wild watercress foraged from clean mountain streams.
150,Choila,Meat,"Buffalo, Chili",Newari,Grilled or barbecued buffalo meat marinated in hot spices and mustard oil.
151,Kachila,Meat,Raw Buffalo,Newari,"Marinated raw minced buffalo meat, a delicacy of the highest order."
152,Sapu Mhicha,Meat,"Tripe, Marrow",Newari,Buffalo leaf tripe stuffed with bone marrow and deep-fried.
153,Swan Puka,Meat,Stuffed Lungs,Newari,Goat or buffalo lungs filled with a spicy batter and fried.
154,Me,Meat,Buffalo Tongue,Newari,"Boiled, sliced, and fried buffalo tongue, seasoned with spices."
155,Pukala,Meat,Fried Intestines,Newari,"Fried meat intestines, including liver, heart, and kidney."
156,Takha,Meat,Congealed Buff,Newari,"A jellied buffalo meat curry, served cold during festivals."
157,Nyakhuna,Meat,Congealed Fish,Newari,"A spicy jellied fish soup, the seafood version of takha."
158,Sanya-khuna,Meat,Jellied Fish,Newari,"A jello relish made from small fish soup, salty and spicy."
159,Chohi,Meat,Steamed Blood,Newari,"Steamed buffalo blood, often spiced and served as a side."
160,Janla,Meat,Marinated Skin,Newari,"Marinated diced raw meat with skin, served at specific feasts."
161,Senlamu,Meat,Raw Liver,Newari,Raw ground buffalo liver seasoned with intense spices.
162,Nhyapu,Meat,Fried Brains,Newari,"Buffalo brains boiled, sliced, and fried; a rare delicacy."
163,Pangra,Meat,Gizzard,Newari,"Fried gizzards of chicken or buffalo, a common snack."
164,Dayekala,Meat,Buffalo Curry,Newari,"A thick, rich buffalo meat curry served at feasts."
165,Dugula,Meat,Goat Curry,Newari,A Newari-style goat meat curry with a distinct spice profile.
166,Heynla,Meat,Duck Curry,Newari,"Duck meat cooked in a savory, aromatic gravy."
167,Khayala,Meat,Chicken Curry,Newari,Traditional Newari chicken curry.
168,Khasilā,Meat,Gelded Goat,Newari,Curry made from the meat of a gelded goat.
169,Changrala,Meat,Mountain Goat,Newari,"Meat of the mountain goat, often leaner and gamier."
170,Bandella,Meat,Wild Boar,Newari,"Wild boar meat, prized for its flavor and forest habitat."
171,Nyā,Meat,Fish Curry,Newari,Generic term for fish curry in the Newari tradition.
172,Sanya,Meat,Small Fish,Newari,"Small fried fish, often eaten as a crunchy snack."
173,Kunya,Meat,Smoked Fish,Newari,"Fish that has been smoke-preserved, then curried."
174,Nyapuka,Meat,Fried Fish,Newari,Fish pieces deep-fried and seasoned.
175,Momochā,Snack,Minced Meat,Newari,"Small, bite-sized Newari meat dumplings."
176,Chatamari,Bread,Rice flour,Newari,"Rice flour crepe topped with minced meat, eggs, or sugar."
177,Bara / Wo,Bread,Lentil flour,Newari,"Fried lentil patty, the backbone of the Newari snack set."
178,Khen Wo,Snack,Fried Egg,Newari,A fried egg often added as a topping to baras or chatamaris.
179,Musyā,Snack,Soybeans,Newari,"Toasted soybeans, a common element in Samay Baji."
180,Haku Musyā,Snack,Black Soybeans,Newari,Roasted black soybeans mixed with oil and salt.
181,Palu,Snack,Ginger,Newari,"Diced raw ginger rhizomes, eaten for digestion."
182,Labha,Vegetable,Garlic Greens,Newari,Chopped garlic greens mixed with spices.
183,Keń,Soup,Lentils,Newari,A specific term for lentil soup in the Newari language.
184,Buba kwā,Curry,Beans,Newari,A curry made of various local beans.
185,Chhon kwā,Curry,Bamboo/Potato,Newari,A Newari version of the alu tama curry.
186,Mee kwā,Curry,Fenugreek,Newari,A unique curry made primarily from fenugreek seeds.
187,Pancha kwā,Curry,Five-veg,Newari,"A festive mixed curry of bamboo, potato, mushroom, radish, and peas."
188,Paun kwā,Soup,Hog Plum,Newari,"A sour, tangy soup made from the Himalayan hog plum."
189,Bullā,Soup,Rice Beer,Newari,A soup made using the dregs of rice beer and variety meats.
190,Chhyāllā,Soup,Radish/Meat,Newari,A soup made of shredded pickled radish and diced offal.
191,Ghalmal,Curry,Mixed,Newari,"A mixed curry of lentil cakes, greens, and leftover meats."
192,Tukan:chā,Vegetable,Mustard,Newari,A specific variety of green leafy vegetables.
193,Palācha,Vegetable,Green Veg,Newari,Local leafy greens prepared with Newari spices.
194,Shākechā,Vegetable,Green Veg,Newari,Another variety of seasonal greens.
195,Chōlechā,Vegetable,Green Veg,Newari,Local green vegetable dish.
196,Wāunchā,Vegetable,Green Veg,Newari,General term for green vegetables in Newa cuisine.
197,Chakuhi,Vegetable,Sweet Potato,Newari,"Boiled sweet potato, a common winter snack."
198,Kaywu,Salad,Peas,Newari,Soaked field pea and garden pea salad.
199,Lain,Salad,Radish,Newari,Sliced radish salad.
200,Tusi,Salad,Cucumber,Newari,"Sliced cucumber salad, often spiced with chili."
201,Laaie,Salad,Radish,Newari,"Sliced radish, used as a palate cleanser."
202,Samaybaji,Platter,Various,Newari,The quintessential Newari ritual food set.
203,Syābaji,Snack,Parched Rice,Newari,"Light, crispy parched rice flakes."
204,Gophuki,Snack,Puffed Rice,Newari,Puffed rice used in ceremonial contexts.
205,Chhusyā,Snack,Wheat,Newari,Parched wheat grains.
206,Kani,Snack,Popcorn,Newari,"Corn popped in sand, a traditional snack."
207,Jakimari,Snack,Rice flour,Newari,Traditional rice flour pancake.
208,Gwaramari,Snack,Wheat dough,Newari,"""Round bread"" - deep-fried dough balls."
209,Yomari,Sweet,Rice flour,Newari,Teardrop-shaped steamed cake filled with chaku or khuwa.
210,Lakhamari,Sweet,Wheat flour,Newari,"Crunchy, intricate sweets made for weddings."
211,Guulmari,Sweet,Wheat flour,Newari,Deep-fried flour and sugar loops.
212,Mari,Sweet,Various,Newari,General term for Newari sweets and pastries.
213,Marichari,Sweet,Various,Newari,Soft milk-based pastries.
214,Fini Roti,Sweet,Wheat flour,Newari,"Multi-layered, flaky pastry."
215,Anarsa,Sweet,Rice flour,Newari,Sugar-coated fried rice flour cookie.
216,Ainthe-Mari,Sweet,Wheat flour,Newari,Decorative fried dough rings.
217,Khajuri,Sweet,Wheat flour,Newari,"Hard, traditional cookies."
218,Roowth,Sweet,Wheat flour,Newari,Deep-fried festive sweet.
219,Nimki,Snack,Wheat flour,Newari,Savory diamond-shaped crackers.
220,Lakshmimari,Sweet,Wheat flour,Newari,Sweet named after the goddess of wealth.
221,Swaari,Bread,Wheat flour,Newari,"Soft, thin flatbread often served with Jeri."
222,Malpha,Sweet,Wheat flour,Newari,Newari variant of the malpua pancake.
223,Jeeri,Sweet,Wheat flour,Newari,Spiral-shaped syrup-filled loops.
224,Baalbara,Sweet,Wheat flour,Newari,"Small, round sweet donuts."
225,Rildok,Soup/Staple,Pounded Potatoes,Sherpa,"Boiled potatoes pounded into a sticky dough, formed into balls in soup."
226,Rikikur,Snack,Grated Potatoes,Sherpa,Savory potato pancakes served with fermented yak butter or achaar.
227,Shyakpa,Stew,"Meat, Noodles, Veg",Sherpa,"A hearty stew of meat, hand-pulled noodles, and local vegetables."
228,Thukpa,Soup,"Noodles, Meat",Himalayan,"A traditional noodle soup with meat, vegetables, and aromatic spices."
229,Tsampa,Staple,Roasted Barley,Himalayan,"Nutritious roasted barley flour, the core staple of the mountains."
230,Po Cha,Beverage,"Tea, Butter, Salt",Himalayan,"Salty butter tea, an essential energy source in cold climates."
231,Chhurpi (Hard),Snack,Buttermilk,Himalayan,"Hardened cheese made from yak milk, extremely durable and shelf-stable."
232,Chhurpi (Soft),Vegetable,Buttermilk,Himalayan,"Soft fermented cheese used in stews, curries, and momo fillings."
233,Tingmo,Bread,Wheat flour,Sherpa/Tibetan,"Steamed fluffy buns, also known as ""T Momo."""
234,Shyaphale,Snack,Meat-filled bread,Himalayan,Deep-fried semi-circular dough filled with minced meat and spices.
235,Khapse,Snack,"Wheat, Butter",Himalayan,Fried dough strips made for Lhosar (New Year) celebrations.
236,Gyuma,Meat,Blood Sausage,Sherpa,Traditional blood sausage made from yak or sheep blood and spices.
237,Phalgi,Bread,Buckwheat,Sherpa,A Sherpa-style buckwheat pancake.
238,Rilduk,Soup,Potato balls,Himalayan,"A variant of rildok, the comforting pounded potato soup."
239,Kur,Bread,Wheat flour,Sherpa,"Flat, pan-cooked bread, a staple breakfast item in teahouses."
240,Somar,Vegetable,Yak milk,Sherpa,A rare yak-milk-based product used as a flavor balancer.
241,Sherpa Momo,Snack,"Flour, Chhurpi",Sherpa,"Rustic dumplings filled with yak cheese, spinach, or meat."
242,Thenduk,Soup,Pulled Noodles,Himalayan,"A variant of thukpa with square, hand-pulled noodles."
243,Mokthuk,Soup,Momo & Soup,Himalayan,Momos served in a flavorful soup broth.
244,Laping,Snack,Mung Bean flour,Tibetan,"Cold, spicy noodle dish flavored with soy, garlic, and chili oil."
245,Su-Chya,Beverage,Butter Tea,Himalayan,Another name for the ubiquitous salty butter tea.
246,Chhang,Beverage,Barley/Millet,Sherpa,"A milky, fermented beer made from barley, central to rituals."
247,Nigar,Beverage,Fermented grain,Eastern Nepal,The first liquid extract from fermented grain beer.
248,Tongba,Beverage,Finger Millet,Limbu/Himalayan,Fermented millet consumed by adding hot water and sipping with a straw.
249,Marpha Brandy,Beverage,Apple,Mustang,A high-proof brandy made from the famous organic apples of Marpha.
250,Yak Steak,Meat,Yak Meat,Himalayan,"Slabs of yak meat grilled or pan-seared, a modern trekker favorite."
251,Yak Curry,Meat,Yak Meat,Himalayan,"Slow-cooked yak meat in a spicy, earthy gravy."
252,Buckwheat Dhido,Staple,Buckwheat flour,Himalayan,Dense porridge made specifically from high-altitude buckwheat.
253,Naked Barley Dhido,Staple,Barley flour,Himalayan,Dhido made from the indigenous naked barley of the mountains.
254,Sishnu ko Jhol,Soup,Stinging Nettle,Himalayan,"A green, creamy soup made from wild-foraged nettles."
255,Kodo ko Roti,Bread,Millet flour,Himalayan,"Flatbread made from finger millet, a staple for low-income families."
256,Phapar ko Roti,Bread,Buckwheat flour,Himalayan,"Earthy buckwheat flatbread, rich in minerals and gluten-free."
257,Aloo ko Tarkari,Curry,Potato,Himalayan,The most common vegetable side dish in the mountains.
258,Ghee,Staple,Yak Butter,Himalayan,Clarified butter made from yak or hybrid cow milk.
259,Salted Butter,Staple,Yak Butter,Himalayan,Traditional churned butter used in tea and cooking.
260,Jhopa Meat,Meat,Hybrid Cow,Himalayan,"Meat from a yak-cow hybrid, consumed by specific castes."
261,Chiru Meat,Meat,Tibetan Antelope,Himalayan,"Historically traded meat from Tibet, now rare and regulated."
262,Bheda ko Masu,Meat,Sheep Meat,Himalayan,"Local sheep meat, a primary protein source in high altitudes."
263,Chyangra Meat,Meat,Mountain Goat,Himalayan,"Meat from the high-altitude Chyangra goat, highly prized."
264,Sukuti (Yak),Snack,Dried Yak Meat,Himalayan,Strips of yak meat dried over a wood fire for long-term storage.
265,Kachhyamba,Snack,Buckwheat,Thakali,"Buckwheat finger chips, a popular traditional appetizer."
266,Phopke,Sweet,Fermented Rice,Thakali,"A unique fermented rice dish, often served over chhurpi and ghee."
267,Timmure Alu,Vegetable,Potato & Timur,Thakali,Signature potato fry seasoned with wild Sichuan pepper.
268,Thakali Set,Staple,"Rice, Lentils, Veg",Thakali,A refined version of dal bhat with melted ghee and multiple pickles.
269,Dhungre Roti,Bread,Buckwheat,Himalayan,Buckwheat pancake often served in Mustang and Rolwaling.
270,Khin,Staple,Local grain,Langtang,A traditional cereal-based dish of the Langtang region.
271,Sishnu Soup,Soup,Nettle,Langtang,High-nutrition nettle soup common in Central Nepal's highlands.
272,Buckwheat Pancake,Bread,Buckwheat flour,Himalayan,"Light, earthy pancakes eaten for breakfast by trekkers."
273,Finger Millet Dhido,Staple,Millet,Upper Mustang,Dense porridge made from millet in the Mustang region.
274,Apple Pie,Sweet,Apple,Jomsom/Manang,A modern adaptation using the abundant local mountain apples.
275,Wild Mushroom Soup,Soup,Wild Mushrooms,Himalayan,"Foraged mushroom soup, common after the monsoon season."
276,Jhaikhatte,Beverage,Raksi & Ghee,Rural Hills,A warming ritual drink where grains and ghee are added to raksi.
277,Dejyang,Beverage,Alcohol,Sherpa,Alcohol gifted to new mothers in the Sherpa community.
278,Chhongjyang,Beverage,Alcohol,Sherpa,Alcohol used during business settlements in the mountains.
279,Kodo ko Raksi,Beverage,Millet Liquor,Nepal,Strong distilled spirit made from fermented finger millet.
280,Chaamal ko Kheer,Sweet,Rice Pudding,Nepal,Traditional rice pudding made with local varieties and yak milk.
281,Makai ko Kheer,Sweet,Corn Pudding,Nepal,A unique pudding made from fresh corn kernels.
